i,s,spdup_libkpn_opt_naive,spdup_libkpn_omp,spdup_libkpn_naive_omp,omp_mean,omp_median,omp_std,opt_mean,opt_median,opt_std,naive_mean,naive_median,naive_std
16,128,1.2206654991243433,4.088396169694837,3.3493173786165737,0.18676240000000002,0.17048249999999998,0.065357405011385,0.7724285714285709,0.697,0.16021899075952487,0.5754285714285716,0.571,0.06736900870083476
16,256,1.568965517241379,3.238617521211974,2.064173804728511,0.3169816000000001,0.3090825,0.021890161733323563,1.049285714285715,1.001,0.12751143739549897,0.702,0.638,0.12551178563518803
16,512,2.3570143884892083,5.505458196537086,2.335776235997421,0.4856482000000001,0.47607299999999997,0.02835732535107361,6.811428571428571,2.621,7.317618089241881,1.0988571428571428,1.112,0.0638768346116193
16,1024,1.4761336515513128,3.206297510453839,2.1720916036865936,0.7781786,0.7716065000000001,0.045020898424324295,6.579142857142862,2.474,6.2592757701403965,1.6737142857142864,1.676,0.04739857592795732
16,2048,0.9319620253164556,2.2671669574080546,2.432681692838524,1.3060040000000002,1.298978,0.027401670038308217,10.484714285714288,2.945,11.692483677203345,4.378428571428572,3.16,2.745613835435226
16,4096,0.9317790942098224,1.9844075865741562,2.129697477551796,2.4529448,2.4571565,0.03199323659701564,10.110285714285718,4.876,8.04422533301581,6.990999999999998,5.233,2.899217940525804
16,8192,0.7659679165436474,1.5449979920782875,2.017053141141909,5.0462981000000005,5.037547,0.05038884566693964,9.286857142857142,7.783,2.6814739261582754,10.263142857142856,10.161,0.5662501287711487
16,16384,1.0760064245375889,2.018675273512129,1.876081059998921,10.2915182,10.287935,0.03679330896827871,24.76485714285715,20.768,15.034305260525558,21.115714285714287,19.301,3.9124717783859593
16,32768,0.777140570818885,1.470836569535585,1.8926261538317857,19.8181975,19.808455,0.05533553349041676,31.453857142857157,29.135,7.134331030306874,41.25400000000002,37.49,9.55783854357245
16,65536,0.6661393933539412,1.4533359350962884,2.1817294542196284,38.0924628,37.958877,0.41577078883250784,55.21928571428571,55.167,5.991486877228435,82.4442857142857,82.816,8.434966730817797
16,131072,0.651737341643244,1.305653174126077,2.00334259018226,73.5398405,73.5241195,0.0605111938516256,99.5671428571429,95.997,11.446629909788157,148.40499999999994,147.294,2.7216509618892943
16,262144,0.6471984546950879,1.3170849304095433,2.0350557404066367,144.4524054,144.4933395,0.16550518449110607,191.76799999999994,190.31,6.530198235890906,316.85057142857147,294.052,57.56005203082805
26,128,1.103448275862069,2.1944042691137597,1.988678868884345,0.3205436,0.320816,0.001244290355536647,0.7490000000000008,0.704,0.20023111646294797,0.652,0.638,0.07059331885289621
26,256,1.3186157517899761,3.123401200177511,2.3686970187771528,0.3531105,0.353781,0.024913781756066004,2.2180000000000013,1.105,2.7933460520792384,0.8724285714285713,0.838,0.07809049237903586
26,512,1.1838235294117647,2.2776411559854104,1.923970169031154,0.6321055999999999,0.6361844999999999,0.034866444968065985,5.880428571428573,1.449,8.434475188672577,1.2464285714285712,1.224,0.16061807702331388
26,1024,2.231404958677686,5.762928923876605,2.5826459251447007,0.8362725000000001,0.79647,0.0886608263317744,6.707571428571433,4.59,3.9715969185370823,2.0260000000000007,2.057,0.1579308920593521
26,2048,3.8333333333333335,9.444652714845677,2.4638224473510464,1.5465864999999999,1.5244605,0.03070039133030219,12.886857142857144,14.398,3.91962295167958,6.001857142857144,3.756,3.1933408837767376
26,4096,0.7951768998889417,1.671640954736452,2.102225246948096,2.9963167,2.9982515000000003,0.020919170262093847,7.51342857142857,5.012,4.514202508934081,8.230857142857145,6.303,2.98794074852006
26,8192,0.7070849197152789,1.4806679072293873,2.094045376933801,5.7657752,5.7696935,0.042313510111448696,16.069714285714298,8.543,12.251064902693141,11.798857142857141,12.082,1.2614327997691293
26,16384,0.7216411524198917,1.3246801642257813,1.8356494218542119,11.449298200000001,11.458615,0.08105615206968825,16.338999999999995,15.179,2.9438340080015957,23.842428571428577,21.034,5.278061252328653
26,32768,0.8230189874960391,1.2018799529584627,1.4603307714869056,28.093656399999997,28.09432,0.0557538689036697,32.723857142857156,33.766,4.322426565792216,40.86685714285716,41.027,1.3617308532401111
26,65536,0.7449645279690804,1.0545364274736966,1.4155525369087978,54.47569120000001,54.468483500000005,0.07215969111331294,54.33571428571426,57.439,4.330650369748433,92.20685714285717,77.103,27.85595571267766
26,131072,0.6490017701639832,0.9370070207140421,1.4437665100316885,106.86243009999998,106.81990400000001,0.12907119298551142,100.62700000000002,100.091,4.74582070089025,169.89200000000002,154.223,37.80967071508726
26,262144,0.6301291115486778,0.9041674687105695,1.434892392907199,210.9173659,210.945435,0.24587911453828795,195.6361428571428,190.73,6.724564279564961,302.3708571428572,302.684,2.7338082107856767
36,128,1.2109955423476968,3.1900798302799243,2.6342622402188822,0.25545829999999997,0.2554795,0.0015118858753376588,0.8260000000000001,0.815,0.08133265027035434,0.6857142857142855,0.673,0.03121498037802284
36,256,1.2357563850687623,2.4533201241481395,1.985278129080132,0.5022495,0.5127744999999999,0.04232558964936767,3.0055714285714275,1.258,3.6648994870255303,1.012285714285714,1.018,0.0545481438731033
36,512,1.0814354727398205,2.4507484792300236,2.2661994552675844,0.6511720999999999,0.6393965,0.02341606010816043,2.7071428571428555,1.567,2.854090529398114,1.4501428571428574,1.449,0.12804068363870222
36,1024,4.327716933445661,8.78631817863062,2.030243270008672,1.1838377999999998,1.169318,0.024580644498379316,9.734142857142855,10.274,5.421387276334359,3.5834285714285707,2.374,2.8052555290620744
36,2048,2.4338662790697674,4.763717795593976,1.9572635672550944,2.1116650999999997,2.109067,0.026712368834822545,13.17785714285713,10.047,9.717892428402376,9.911285714285711,4.128,8.963612174136795
36,4096,0.6638287216727181,1.3358141550446383,2.012287373885614,3.9660838000000007,3.969115,0.011410664551421302,6.268285714285716,5.302,1.578525379903662,8.717,7.987,2.7979214159800767
36,8192,0.8392431098313452,1.2974899147537298,1.5460239107765497,7.8696950999999995,7.8621035,0.025575699036719076,12.55971428571429,10.201,3.8955473460092755,12.290857142857142,12.155,0.6938823147095973
36,16384,0.6910117276387188,1.0116325571942204,1.4639875370149023,15.612893399999999,15.6094225,0.05529788561440232,20.39700000000002,15.791,7.157374448776535,23.037714285714284,22.852,0.9298281651287678
36,32768,0.6439646757020591,0.7778197484310031,1.2078608932749508,36.4653353,36.4686035,0.08354864623305637,33.257428571428576,28.366,6.4101616691780325,44.362571428571414,44.049,1.6549829933669542
36,65536,0.7237712119110372,0.880185704957273,1.216110409577138,71.1198958,71.13498849999999,0.08989661113682637,64.28042857142862,62.612,8.527954207096165,85.96599999999998,86.508,1.7884763534002488
36,131072,0.6517772027781561,0.785688029954929,1.205454910981831,140.1374854,140.1039545,0.12503912837125647,110.4565714285715,110.078,3.763124012482172,170.0057142857143,168.889,5.510542449099487
36,262144,0.6524544966573952,0.7703509113467119,1.1806967616796489,277.7067532,277.70720700000004,0.13122469583845262,217.38457142857138,213.932,8.621477324101328,331.5248571428572,327.888,6.359095988553011
46,128,1.0455801104972375,2.2440700375148035,2.146243998891305,0.34417070000000005,0.3373335,0.02159834700490698,0.7865714285714295,0.757,0.1435455792887128,0.7331428571428574,0.724,0.055422618727974444
46,256,1.24559686888454,1.8517764252714384,1.4866578999429774,0.6869658000000001,0.6874480000000001,0.05221010831630206,3.412571428571429,1.273,3.5009062517201626,1.0374285714285711,1.022,0.10007455554069412
46,512,1.7783816425120773,3.2984226931481286,1.8547327605613924,0.8947576999999999,0.8928510000000001,0.054992089433240285,8.09285714285714,2.945,9.011918564231113,1.9425714285714286,1.656,0.7925116192628759
46,1024,1.1375739644970413,2.2722336884498726,1.9974381968688089,1.376509,1.353734,0.030540004223980448,6.528571428571432,3.076,6.062921404598059,2.717428571428572,2.704,0.31035080956878014
46,2048,0.6666033795329409,1.312990641903212,1.9696729452874444,2.6703464,2.674048,0.0372015716430063,5.546571428571426,3.511,3.378402420770309,6.138142857142857,5.267,2.283085083828456
46,4096,1.33731843575419,2.3224593892197642,1.736653983918196,5.159720500000001,5.1535885,0.01881238461014551,11.62442857142858,11.969,3.704139311859972,9.560714285714283,8.95,2.286019830768468
46,8192,0.7932616487455199,1.105062526506871,1.3930618330716473,10.019500299999999,10.013913,0.042923447293952,13.753142857142846,11.066,6.066083555996692,14.307999999999998,13.95,2.2750360253558046
46,16384,0.678083312873394,0.8355456055827417,1.2322167346105266,19.841244900000003,19.832549999999998,0.04016605182088122,17.77742857142857,16.571,2.9171701327370476,25.396142857142852,24.438,2.41077235203437
46,32768,0.7936237731963096,0.839828262092469,1.0582196381417246,46.3492388,44.9651455,2.9793589993440928,36.1732857142857,37.763,6.303666241429281,47.392,47.583,1.0270511590632914
46,65536,0.6540504502929091,0.6795332054389682,1.038961451879816,88.05472410000002,88.064865,0.13242368197056112,60.397571428571425,59.843,5.2782430275931995,92.54871428571428,91.496,3.338342995908833
46,131072,0.6136354763325655,0.6333637866778519,1.0321498855691884,174.84307889999997,173.7121735,3.1851186023552245,112.5947142857143,110.023,12.332686717283837,178.86099999999993,179.297,1.4815278150268856
46,262144,0.6002073353421318,0.6116839997257051,1.0191211664832975,344.5149903,344.53410599999995,0.26858068332661555,208.6825714285716,210.746,9.821475128933937,351.8255714285714,351.122,3.346544361981225
56,128,1.1524966261808367,1.6680599720297205,1.447344776667474,0.5244943000000001,0.511972,0.026071782298745703,1.0780000000000003,0.854,0.4736282825169953,0.7858571428571427,0.741,0.12590902800567458
56,256,1.2676812891674127,1.7088405951013235,1.3480049044690525,0.8292256000000002,0.828632,0.07326525145311752,3.7938571428571404,1.416,6.180381609037857,1.1754285714285717,1.117,0.08281782215602228
56,512,4.86762360446571,6.886444737521985,1.4147447085276161,1.3246657000000002,1.3295685000000002,0.07097350331880349,9.727571428571425,9.156,9.273229026791778,1.851285714285714,1.881,0.1302631951089898
56,1024,3.116238723108952,5.611921944233205,1.800863939792907,1.6237192,1.600343,0.03080425715456067,8.056571428571422,8.981,6.125259872038088,2.8155714285714297,2.882,0.3158649500445766
56,2048,0.5482690254689645,1.1464746542198958,2.091080475026386,3.1423202000000003,3.1356995,0.04066124918225764,4.15385714285714,3.595,1.0658096492025955,6.787142857142857,6.557,2.1978789396446152
56,4096,0.6550108147080028,1.188636322750414,1.814681980907897,6.1174330999999995,6.1145700000000005,0.031254151526886265,11.769571428571421,7.268,9.28683612477001,10.226857142857147,11.096,1.7261714741975187
56,8192,1.4720194647201947,1.7471457270116775,1.186903956697189,12.1285464,12.1197675,0.03450228839197399,19.480571428571437,21.175,5.927585719188983,17.310285714285715,14.385,4.520015293115716
56,16384,0.7353258036490009,0.8781197836477861,1.194191444513684,24.0963184,24.0958015,0.0748894004102041,24.901714285714295,21.159,8.477377188729996,28.304285714285715,28.775,1.1884418370287322
56,32768,0.7309995564098772,0.7422304494177221,1.0153637480479505,53.2777598,53.2853375,0.07524597630275333,39.16657142857141,39.55,5.734742888744024,53.959428571428575,54.104,1.1545152842928972
56,65536,0.5101122123330619,0.5200648015283833,1.0195105879739712,104.81740729999999,104.80617000000001,0.05903785505985732,57.55100000000003,54.506,4.981480812301804,106.00214285714283,106.851,2.1158240219047855
56,131072,0.5245460201423183,0.5206839501495514,0.9926373095124825,207.26593110000005,207.26200599999999,0.06341840688323504,109.68028571428569,107.918,6.4148449546093005,205.6305714285714,205.736,2.179931229805418
56,262144,0.5335476625635831,0.5293280380690143,0.9920913822875833,411.8793388000001,411.975154,0.25505518746040196,219.27514285714264,218.07,12.63064448738644,408.8621428571429,408.717,1.9825861162440175
66,128,1.2524271844660195,1.5625603277742828,1.2476256880678382,0.6653848,0.6604544999999999,0.017189759553615378,0.9799999999999996,1.032,0.2206414889966682,0.8118571428571429,0.824,0.05476350670534527
66,256,1.2797147385103012,2.209320459538656,1.726416359094603,0.7579383999999999,0.7309939999999999,0.09795114159189654,2.5915714285714277,1.615,2.590146102700257,1.2348571428571424,1.262,0.15759296198329328
66,512,1.37158203125,1.944628284545709,1.4177994755249599,1.4203060000000003,1.4444919999999999,0.08643657134312381,4.579142857142859,2.809,3.434393590334883,1.9785714285714286,2.048,0.19781367495701718
66,1024,2.808021232674727,4.582933553961011,1.632086502991156,2.0729661,2.0777085,0.02988461978435986,8.407999999999994,9.522,3.9737417295709414,7.019000000000001,3.391,7.280502086051482
66,2048,0.514401047348898,1.2515797378398343,2.4330816282163146,3.7699559000000002,3.767239,0.009432812334646587,5.371571428571431,4.715,1.8933107466375672,8.943428571428573,9.166,2.874601030288083
66,4096,0.8380023183925812,1.1718496982199975,1.3983847926194137,7.388341600000001,7.4028265,0.03221985711445168,12.598000000000003,8.675,6.1423079504639935,10.79657142857143,10.352,2.2784734930065302
66,8192,0.6542883421476201,0.8046049530708965,1.2297406223529537,14.1523164,14.146072499999999,0.042549761143140845,13.192999999999993,11.382,4.171479378869517,18.172571428571423,17.396,2.3419339319602814
66,16384,0.718317069268917,0.795432740069686,1.1073560327325302,28.2218431,28.224888,0.054920286254604614,22.69728571428571,22.451,4.194762835965889,31.87285714285714,31.255,1.1075765962979989
66,32768,0.592518114207284,0.6026014264299353,1.0170177282025235,61.640024,61.609545499999996,0.06946302062782542,37.831428571428575,37.126,4.5110172309948835,62.97285714285714,62.658,1.887181109927773
66,65536,0.6621688009694429,0.6656019767503004,1.0051847440952084,121.5046061,121.502043,0.05811356261947515,77.09500000000006,80.872,9.55201149845751,121.58942857142858,122.132,1.6563771334861677
66,131072,0.5609690624790282,0.5559122929148358,0.9909856533944215,240.55786719999998,240.584714,0.12162802650518001,134.0324285714287,133.744,5.6850346158385925,239.9975714285714,238.416,3.314088625349507
66,262144,0.5328210911268692,0.5244950251362552,0.9843736178442092,478.3834803,478.3458145,0.25644709020022516,250.13514285714277,250.89,7.077253898938213,470.70128571428535,470.871,1.6742499440611294
76,128,1.0969899665551839,1.4103897276614834,1.2856906358865352,0.7099366,0.6976795,0.026978602101994046,1.009,0.984,0.09420942981817954,0.9307142857142855,0.897,0.12432534603477628
76,256,0.8335684062059239,1.002107222929434,1.2021895449356492,1.1667824999999998,1.1795145,0.11220812888779572,1.4842857142857135,1.182,0.5649470845427345,1.4051428571428572,1.418,0.1384407213695867
76,512,1.1202970297029702,1.4259263401612499,1.2728109620529056,1.5852365999999998,1.5870385,0.03655139673331683,4.287142857142855,2.263,4.819162492072667,2.0987142857142853,2.02,0.21414500538965486
76,1024,2.108860759493671,3.7068714627857697,1.7577601774314275,2.2520882,2.247178,0.03171921093944,9.57214285714286,8.33,6.704323977851907,4.009714285714285,3.95,0.3274127110136891
76,2048,1.4158211794546607,2.078788674407367,1.468256517541336,4.3021742000000005,4.296252,0.0264757578540396,11.319142857142861,8.931,7.22244170104543,7.415285714285713,6.308,1.5644763900423808
76,4096,0.5779099522788574,0.9938628729713962,1.7197538631275033,8.412585199999999,8.407598499999999,0.024782179358112787,12.212857142857139,8.356,8.398499977674602,13.734714285714283,14.459,3.396007140746332
76,8192,0.5891351426070128,0.7704428105893526,1.3077522538886843,16.5955602,16.595651,0.03857245178128785,15.337999999999994,12.786,4.395468153867906,21.595285714285716,21.703,3.2726361698177726
76,16384,0.6834027332906257,0.7872235066913075,1.1519174102520462,32.5264476,32.523165000000006,0.06281569564713009,27.122285714285717,25.603,6.670262850892718,37.84714285714285,37.464,2.5558845745325085
76,32768,0.5965663380038055,0.5901826506565284,0.9892992833477031,70.12480439999999,70.1223595,0.06399619213562038,41.29085714285715,41.385,9.10817915163799,70.05285714285716,69.372,2.2951985662093954
76,65536,0.5268801958179727,0.5110942721793119,0.9700388745601769,138.1739885,138.1408555,0.11110018802951184,71.41799999999996,70.603,9.628170492968735,136.63228571428579,134.002,4.98869899957034
76,131072,0.46348224917641134,0.44999427865198666,0.9708986254632356,274.1941976,274.19237499999997,0.09948514627872956,124.77942857142855,123.385,4.341621735213233,265.654,266.213,2.9783354831216937
