iterations;size (kB);sequential time (ms); naive;half diamonds;grouped half diamonds; with tasks
16;8;0.078854;36.455336;38.767068;86150957703153538878103058886555268539892372671218176451733416291459890659672749772795115433282895606763167830151174887232059441906826014502780635557974958779402288228122037544838275315485414839885496320.000000
16;16;0.145364;25.322449;26.369991;0.000000
16;32;0.292258;18.355398;18.919386;0.000000
16;64;0.585057;14.714781;15.022162;0.000000
16;128;1.163510;13.177574;14.364297;5334288796081776820827826815166608024738914159916875032972579406645550778028850995660294963621532480706325788179101300563451870543080230332642138447821502918998455145007080190790473341812947974912589959154146197170415325937664.000000
16;256;2.329923;12.599725;12.506355;0.000000
16;512;4.657649;11.870239;12.492980;0.000000
16;1024;9.332702;11.784532;12.153655;0.000000
16;2048;18.682288;15.153347;17.000026;77321724181417892349375490117808702245900285090320297721029344355836462678371990456607669764351532844962580160640035596659587513983360299517237806030149784948920196177919473013746947388850295068560563886998713008128.000000
16;4096;37.594617;16.194881;17.207409;0.000000
16;8192;75.848545;16.402133;17.276436;0.000000
16;16384;162.720633;14.841556;15.579308;0.000000
16;32768;330.683388;14.109539;15.327699;2107689204086684726524714228499480705668370613844265301836815476737232844006456952166564996802374468626918652426883738283003688931165778434363025989026757070774180489189993737443662294535104470416747329294582923541413911722983424.000000
32;8;0.146786;29.654510;31.424574;0.000000
32;16;0.290665;18.759876;20.461111;50.010820
32;32;0.596343;14.781176;15.876828;49.008331
32;64;1.171846;12.710462;13.312709;49.926110
32;128;2.337933;11.547589;11.775825;49.766619
32;256;4.665701;22.843124;14.025586;49.937243
32;512;9.318895;10.756908;11.134971;49.980701
32;1024;18.665083;11.097417;10.951861;50.000860
32;2048;37.447234;12.738144;13.337509;49.889635
32;4096;75.320084;12.926590;13.695654;49.913137
32;8192;151.536410;12.957423;13.589157;50.053017
32;16384;314.367627;12.220944;13.067487;51.761256
32;32768;638.799379;11.827531;12.674375;51.766392
64;8;0.293805;25.859576;30.219305;0.000000
64;16;0.582452;19.454661;20.988890;49.903739
64;32;1.162449;14.178235;15.386193;51.300599
64;64;2.335751;12.239813;13.019201;50.169975
64;128;4.665764;11.257122;11.449699;50.108264
64;256;9.323026;12.193236;10.713301;50.044928
64;512;18.671847;10.311997;11.256089;49.908799
64;1024;37.324596;10.492501;10.746945;50.007462
64;2048;74.768729;11.368649;12.000421;50.084085
64;4096;150.690193;11.433109;12.017594;49.983402
64;8192;302.746711;11.462566;11.982179;50.053859
64;16384;616.940506;11.065420;11.707626;50.955906
64;32768;1254.522897;10.748810;11.450454;50.919707
128;8;0.580713;41.230923;53.446592;0.000000
128;16;1.163238;20.460556;25.239501;50.071608
128;32;2.321165;17.540623;20.026121;50.080420
128;64;4.643199;14.722974;16.760815;50.304779
128;128;9.287372;11.979631;12.069869;50.237726
128;256;18.575896;10.807620;11.131957;50.188834
128;512;37.151282;10.568774;10.916493;50.258958
128;1024;74.327790;10.350823;10.645709;50.216206
128;2048;148.775990;10.788619;11.285971;50.255911
128;4096;299.709450;10.741204;11.265241;50.278759
128;8192;603.304753;10.655474;11.243593;50.181390
128;16384;1217.915965;10.439443;11.024987;50.655425
128;32768;2459.127334;10.267765;10.902751;51.014963
256;8;1.162658;56.552613;77.260965;0.000000
256;16;2.321283;37.874718;38.482791;50.111848
256;32;4.642410;19.235424;26.646718;49.999135
256;64;9.284508;17.268073;17.396929;50.010175
256;128;18.569851;12.578376;14.432833;50.013173
256;256;37.153332;11.668924;12.327197;49.997928
256;512;74.331362;11.072614;11.418380;49.980628
256;1024;148.646982;10.425843;10.975671;50.002892
256;2048;297.524385;10.544300;11.114001;50.004637
256;4096;599.268004;10.438278;11.012063;50.012590
256;8192;1206.814871;10.316440;10.866613;49.991491
256;16384;2424.617799;10.185558;10.871106;50.231256
256;32768;4895.329085;10.039919;10.711995;50.234158
512;8;2.321381;106.942816;72.112600;0.000000
512;16;4.640464;56.003412;74.633820;50.022651
512;32;9.285217;49.193327;38.127261;49.997858
512;64;18.569013;24.605035;29.779752;50.000009
512;128;37.140585;22.556564;16.974361;49.998811
512;256;74.299064;17.116115;17.945911;50.005114
512;512;148.608290;13.478684;17.471075;50.018315
512;1024;297.297697;14.164074;15.089737;49.999372
512;2048;595.000422;13.563016;15.042433;50.004063
512;4096;1199.305519;13.342975;14.528172;49.967918
512;8192;2414.709475;13.164378;14.703252;49.977643
512;16384;4838.708320;13.037234;14.488461;50.108782
512;32768;9768.301273;12.942916;14.216309;50.114436
